"","ex01","ex02","ex03","ex04","ex05","ex06","ex07","ex08","md09","md10","md11","md12","md13","ci14","ci15","ci16","ci17","ci18","ei19","ei20","ei21","ei22","ei23","plc01","plc02","plc03","plc04","plc05","psc06","psc07","psc08","psc09","psc10"
"104",1,1,1,1,2,1,1,2,2,3,2,4,1,1,1,3,2,1,1,1,5,1,2,1,1,1,1,3,1,1,2,2,1
"105",3,3,3,3,4,2,3,3,3,4,1,3,4,4,2,4,3,4,1,2,3,3,2,2,3,4,3,3,1,3,3,1,2
"106",5,2,2,1,4,4,3,3,3,3,2,3,2,5,4,4,5,4,1,3,2,4,2,4,4,3,2,3,1,1,2,3,1
"107",3,3,2,3,2,2,3,2,3,1,1,3,4,3,3,3,3,2,2,1,2,3,1,1,3,2,3,2,2,1,2,2,2
"108",1,2,3,1,2,1,3,1,1,3,1,1,2,2,2,3,3,2,1,1,3,2,1,1,4,3,3,2,2,1,2,2,1
"109",1,3,3,2,1,1,1,3,1,1,1,1,2,1,5,2,2,2,2,1,3,2,1,1,3,4,2,4,3,1,3,3,1
"110",2,3,2,2,2,2,2,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"111",4,5,5,4,4,4,5,4,5,5,1,1,4,5,5,1,4,2,3,5,4,4,5,4,4,4,5,5,5,4,4,5,1
"112",2,2,3,2,3,2,3,3,1,2,1,1,3,3,4,2,3,3,1,2,3,4,2,3,5,5,4,2,3,3,3,5,2
"113",3,3,2,2,2,2,2,2,2,2,3,2,2,4,4,3,2,2,1,3,3,3,2,3,4,3,3,3,1,4,4,2,2
"114",1,1,1,1,1,3,1,1,2,1,1,2,1,1,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
"115",1,5,2,2,2,2,2,2,1,1,1,1,3,2,5,2,2,1,1,1,2,1,2,4,2,2,1,4,1,1,4,2,1
"116",4,2,2,3,5,3,3,5,1,3,1,1,1,3,2,2,3,2,1,1,2,2,1,5,5,5,5,5,5,4,4,5,2
"117",2,3,3,2,3,2,3,3,2,2,1,1,1,3,2,3,3,3,1,1,2,1,2,2,2,3,1,1,2,1,2,2,2
"118",3,4,3,3,3,4,3,3,4,4,3,3,2,4,4,4,4,4,3,4,4,4,4,2,5,4,4,3,4,3,2,3,1
"119",4,4,4,4,5,4,4,3,4,3,3,2,2,4,4,4,4,4,3,3,3,3,2,5,4,4,2,3,2,2,2,4,2
"120",3,2,3,3,3,2,4,3,2,2,2,1,2,2,4,3,2,2,3,2,2,2,1,5,4,4,3,4,3,4,5,5,2
"121",2,2,1,1,2,3,1,4,3,2,1,2,3,3,2,4,4,3,1,1,2,4,1,1,2,1,1,1,1,1,1,1,1
"122",2,3,2,3,3,4,4,3,4,3,2,2,4,4,4,4,4,4,2,2,4,2,2,3,5,4,3,4,4,2,1,3,2
"123",3,2,3,3,3,4,4,3,2,2,2,2,1,4,4,3,3,3,3,1,3,3,2,2,3,3,2,3,1,2,4,4,2
"124",2,2,3,2,3,4,3,3,1,4,2,1,2,2,3,4,3,2,1,2,1,1,1,3,1,1,2,1,1,2,1,2,2
"125",3,1,3,2,3,1,2,4,1,3,1,1,1,3,3,3,3,2,1,1,1,1,1,3,4,4,1,3,4,3,3,3,1
"126",3,4,3,3,2,2,2,3,3,2,2,2,3,2,2,2,2,3,2,1,2,2,1,3,3,2,3,2,3,3,1,4,2
"127",4,4,4,4,5,4,5,5,3,5,3,3,3,4,4,5,4,4,3,4,4,5,3,5,5,5,5,4,5,5,4,4,4
"128",4,3,3,4,4,3,3,4,3,2,2,2,2,3,3,3,3,3,2,1,2,3,2,3,3,2,2,2,2,2,3,5,2
"129",3,3,2,3,3,4,3,3,1,2,1,1,1,3,3,3,3,1,1,1,2,2,1,3,3,4,2,4,1,1,2,3,2
"130",3,2,3,2,3,2,4,4,3,2,2,2,2,3,2,4,3,3,2,1,3,2,2,3,4,4,4,2,3,4,3,3,3
"131",3,3,2,2,2,2,1,2,3,1,2,2,1,2,3,2,3,2,2,1,3,1,1,2,2,1,2,3,3,1,3,1,2
"132",2,2,2,2,4,3,2,2,2,1,1,1,1,2,2,2,3,2,3,2,3,3,3,2,3,3,3,2,3,2,3,2,1
"133",2,2,3,3,2,3,3,3,3,2,3,2,2,4,3,3,3,4,2,2,4,3,3,4,3,3,3,4,3,4,4,4,3
"134",3,2,2,2,3,3,3,1,3,3,1,2,2,4,3,3,4,3,3,3,3,2,2,2,4,4,4,3,2,2,3,4,2
"135",2,2,2,4,5,2,3,2,1,3,1,1,1,3,2,2,3,1,1,1,3,1,1,5,3,1,2,3,1,1,1,5,1
"136",4,3,4,3,3,4,3,4,4,4,2,2,2,4,4,4,4,2,2,2,3,3,2,3,4,4,2,2,1,1,2,2,2
"137",3,3,2,3,3,2,2,3,2,2,1,1,1,3,3,3,3,2,1,1,2,1,1,2,3,2,2,4,1,1,1,4,1
"138",3,4,2,3,2,3,3,3,4,2,3,3,1,3,2,3,3,2,2,3,3,3,3,1,3,3,1,2,2,1,2,2,2
