"","UWES_VI1","UWES_DE1","UWES_AB1","UWES_VI2","UWES_DE2","UWES_AB2","UWES_DE3","UWES_VI3","UWES_AB3","UWES_DE4","UWES_AB4","UWES_VI4","UWES_DE5","UWES_AB5","UWES_VI5","UWES_AB6","UWES_VI6"
"153",2,3,4,4,5,1,6,2,4,4,3,5,5,3,3,4,2
"154",3,4,4,1,4,2,4,1,1,1,1,2,5,4,3,6,5
"155",2,3,1,2,5,1,5,2,4,3,3,3,4,3,2,3,3
"156",5,5,5,5,5,5,5,3,5,5,5,3,5,5,5,2,5
"157",4,6,6,6,6,4,6,6,3,7,5,4,4,6,5,6,5
"158",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159",6,7,4,6,7,4,7,4,5,7,6,6,7,7,6,4,3
"160",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162",NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163",6,7,4,NA,7,NA,7,NA,6,7,4,NA,7,4,7,4,5
"164",4,5,NA,NA,6,NA,6,NA,3,6,4,4,6,6,5,2,4
"165",4,5,4,4,5,5,4,5,4,6,4,5,6,3,4,4,5
"166",5,NA,4,7,6,5,4,7,3,7,5,3,5,6,5,4,5
"167",5,7,2,1,4,1,2,2,5,6,1,2,5,3,5,2,2
"168",4,4,4,4,5,5,4,4,4,5,3,6,4,5,3,3,4
"169",6,5,4,6,6,NA,6,5,7,7,2,4,4,6,4,3,4
"170",2,6,3,4,7,2,7,5,2,7,3,6,6,6,4,2,6
"171",5,5,NA,5,5,2,5,6,5,4,3,5,4,5,5,4,4
"172",6,7,6,7,7,1,7,7,7,7,6,6,1,7,7,7,7
"173",6,6,7,4,5,4,NA,5,4,6,4,NA,5,5,5,4,5
"174",4,4,3,3,4,4,3,4,4,4,3,4,4,4,3,3,3
"175",6,7,6,6,7,6,6,6,7,7,6,6,7,6,6,4,7
"176",5,7,5,5,6,3,6,6,4,6,6,5,4,6,4,3,4
"177",5,7,7,5,7,NA,6,5,7,7,6,6,7,5,5,5,7
"178",3,3,4,3,4,3,3,3,4,5,3,3,5,3,4,2,2
"179",2,3,2,2,4,1,2,3,4,6,1,4,2,2,3,2,6
"180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181",3,5,3,4,4,1,4,2,6,4,4,6,5,4,4,2,4
"182",6,7,6,5,6,6,5,6,6,7,4,5,4,6,6,4,5
"183",3,6,6,6,6,3,4,5,6,5,6,5,4,4,6,5,6
"184",7,5,NA,2,5,5,7,4,1,3,7,3,2,7,7,5,7
"185",7,7,7,7,7,3,7,7,4,7,4,5,7,7,5,3,6
"186",1,1,1,1,2,1,1,3,5,3,1,2,3,1,3,1,1
"187",3,4,4,3,4,2,4,3,5,4,4,4,5,3,4,3,5
"188",3,5,NA,NA,4,3,4,NA,3,3,NA,4,5,4,5,2,4
"189",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190",1,7,7,3,7,3,7,1,1,7,2,2,4,3,1,2,4
"191",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
"192",4,7,6,5,7,4,4,6,6,7,5,7,5,5,6,2,6
"193",7,7,5,7,7,3,7,7,7,7,7,7,7,7,7,7,7
"194",5,5,4,4,4,4,4,4,4,5,4,5,5,5,4,5,4
"195",6,7,5,7,7,5,7,3,7,4,6,7,4,4,1,5,6
"196",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"197",5,6,6,4,5,6,6,4,4,5,4,5,6,5,6,3,4
"198",4,4,1,4,4,1,4,3,3,7,2,4,5,6,3,3,5
"199",6,7,6,5,7,3,7,5,7,1,6,4,7,7,7,NA,6
"200",NA,1,1,5,7,1,2,4,7,7,NA,4,NA,3,7,NA,7
"201",4,6,4,5,4,6,5,7,5,6,3,4,3,4,5,3,3
"202",5,5,6,6,5,2,4,7,5,5,4,5,4,4,3,6,4
"203",4,5,2,2,5,1,5,2,3,5,2,2,5,2,5,2,2
"204",4,3,3,4,2,NA,5,3,NA,7,NA,3,7,3,NA,NA,NA
"205",3,4,5,4,5,4,3,3,NA,5,3,3,4,4,3,6,3
"206",2,3,6,2,5,6,3,2,5,4,7,5,5,2,4,2,3
"207",4,6,4,4,4,4,5,4,5,6,4,4,6,5,3,4,4
"208",5,7,6,NA,7,NA,6,6,5,7,4,6,7,6,6,4,5
"209",3,4,3,3,3,3,3,3,4,5,3,4,5,3,4,3,3
"210",7,7,7,7,7,2,7,7,7,7,7,7,7,7,7,5,7
"211",4,5,6,4,3,4,4,4,3,4,5,4,3,3,4,2,5
"212",7,7,7,7,7,7,7,6,7,7,7,6,6,7,7,6,6
"213",6,6,5,6,6,5,7,7,6,7,4,7,6,6,6,5,5
"214",2,2,7,4,1,4,2,4,7,4,6,7,3,1,5,4,7
"215",6,7,6,6,6,1,7,6,5,7,4,6,6,6,6,6,7
"216",5,6,6,6,6,5,6,6,6,6,4,6,6,5,6,5,6
"217",3,6,5,4,5,5,4,5,3,5,3,6,4,3,5,3,5
"218",5,5,6,7,6,6,6,6,6,6,7,6,6,6,7,6,5
"219",4,5,7,6,6,4,6,6,7,6,5,7,7,6,5,5,5
"220",7,6,7,5,7,6,7,6,7,7,6,7,7,7,6,6,6
"221",3,2,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
"222",4,5,6,4,3,4,4,5,2,2,5,5,4,3,4,3,7
